Gene,Coefficient,Importance
2569649,-0.15944865768246141,0.15944865768246141
3474815,-0.12883840174946376,0.12883840174946376
3811339,-0.1288060442800683,0.1288060442800683
2845417,0.11603291303468771,0.11603291303468771
3744410,-0.1131982363348106,0.1131982363348106
3022409,-0.11185852210321551,0.11185852210321551
2400655,-0.11077156345291471,0.11077156345291471
3770328,-0.10043055445861788,0.10043055445861788
3413067,-0.09184404459468128,0.09184404459468128
3937967,0.08679022456521597,0.08679022456521597
3389566,-0.08501333702794796,0.08501333702794796
3044518,0.08496356430450076,0.08496356430450076
3464405,-0.08080411278412623,0.08080411278412623
2341645,-0.07879770896584049,0.07879770896584049
3867928,-0.07709420323271965,0.07709420323271965
3174429,-0.07480178658174035,0.07480178658174035
3584443,-0.06808273333017946,0.06808273333017946
2947063,0.06524590030158707,0.06524590030158707
3022814,0.0627257908623443,0.0627257908623443
3995975,-0.06095543359474129,0.06095543359474129
2675192,-0.06075843747835863,0.06075843747835863
2372169,0.060612641956835196,0.060612641956835196
3971329,-0.05848612070789044,0.05848612070789044
3353853,-0.05814327155299952,0.05814327155299952
3477610,0.057292875334006794,0.057292875334006794
2836665,0.05724410063799707,0.05724410063799707
4007086,-0.05657239564829406,0.05657239564829406
3733999,-0.054981507466483476,0.054981507466483476
3883542,-0.05415284680643467,0.05415284680643467
3822287,-0.05196024526391003,0.05196024526391003
3479519,-0.05011219749839742,0.05011219749839742
3923537,-0.048767886136648946,0.048767886136648946
