Gene
1554241_at
1555237_at
1555282_a_at
1555821_a_at
1556009_at
1558919_a_at
1563845_at
1567628_at
1569353_at
203781_at
204758_s_at
207591_s_at
209197_at
210404_x_at
211430_s_at
211650_x_at
214149_s_at
214980_at
215421_at
216857_at
222286_at
224357_s_at
226925_at
228209_at
229653_at
232235_at
234055_s_at
235965_at
239403_at
241319_at
243807_at
244594_x_at
