Gene,Coefficient,Importance
ILMN_2359029,0.06184808550748928,0.06184808550748928
ILMN_1702197,0.056198055145570434,0.056198055145570434
ILMN_1653712,0.05448750317171097,0.05448750317171097
ILMN_1834190,0.05268423599212226,0.05268423599212226
ILMN_1813833,-0.05217932305894013,0.05217932305894013
ILMN_1722738,-0.0521387063388845,0.0521387063388845
ILMN_2390310,0.049816189804775375,0.049816189804775375
ILMN_1731720,-0.048420816502266276,0.048420816502266276
ILMN_1672165,0.048088574429151744,0.048088574429151744
ILMN_1696974,0.04784498574303716,0.04784498574303716
ILMN_2285618,0.045538482737552205,0.045538482737552205
ILMN_2062754,0.04343263976559411,0.04343263976559411
ILMN_1685602,-0.04289762126571079,0.04289762126571079
ILMN_1901532,0.042804701885611085,0.042804701885611085
ILMN_2352023,0.04243855460581639,0.04243855460581639
ILMN_1687359,-0.0419923334149989,0.0419923334149989
ILMN_1749834,0.04165342400882082,0.04165342400882082
ILMN_1806304,0.041632513373900226,0.041632513373900226
ILMN_1670542,-0.04145118603559546,0.04145118603559546
ILMN_1681888,0.04121271498961756,0.04121271498961756
ILMN_1723494,-0.0404636243256704,0.0404636243256704
ILMN_1702229,0.039380074770606704,0.039380074770606704
ILMN_1706410,-0.03905839293569543,0.03905839293569543
ILMN_2153485,-0.038762306416364946,0.038762306416364946
ILMN_1779751,0.03864745675252051,0.03864745675252051
ILMN_1727642,-0.03841339634070098,0.03841339634070098
ILMN_1765500,-0.03831583381842385,0.03831583381842385
ILMN_1791149,-0.038222821802950585,0.038222821802950585
ILMN_1807613,0.03752100309766449,0.03752100309766449
ILMN_1752914,-0.03629872301984884,0.03629872301984884
ILMN_1792323,0.03597170679273418,0.03597170679273418
ILMN_1905013,-0.03595671841652746,0.03595671841652746
