Gene,Coefficient,Importance
209950_s_at,-0.07740716983592659,0.07740716983592659
206639_x_at,-0.07733425789109061,0.07733425789109061
207983_s_at,-0.07507000719867622,0.07507000719867622
207123_s_at,-0.07433789157102116,0.07433789157102116
219291_at,-0.07366159970724766,0.07366159970724766
205048_s_at,-0.07288809756437141,0.07288809756437141
201711_x_at,-0.07128038123871148,0.07128038123871148
220645_at,-0.0707902926872745,0.0707902926872745
205437_at,0.06893947897898091,0.06893947897898091
217653_x_at,0.06825592035862141,0.06825592035862141
215375_x_at,0.0682063928530637,0.0682063928530637
200679_x_at,-0.06691730426539012,0.06691730426539012
208213_s_at,-0.06656703524559265,0.06656703524559265
217115_at,0.06565290478367525,0.06565290478367525
201326_at,-0.06516958345727945,0.06516958345727945
203957_at,-0.06413916588056565,0.06413916588056565
213750_at,0.06247215168254349,0.06247215168254349
212885_at,-0.061655034182256624,0.061655034182256624
218968_s_at,0.06119704702576355,0.06119704702576355
210964_s_at,-0.060544049480117816,0.060544049480117816
201101_s_at,-0.055924879776741925,0.055924879776741925
201029_s_at,0.055511565614811846,0.055511565614811846
211751_at,-0.05520774324323766,0.05520774324323766
207183_at,-0.05463796845806009,0.05463796845806009
203674_at,0.05411170154198068,0.05411170154198068
208113_x_at,0.054029792168097994,0.054029792168097994
202778_s_at,-0.05393227257287069,0.05393227257287069
215472_at,-0.05298155563577064,0.05298155563577064
218131_s_at,0.052779836519077965,0.052779836519077965
203243_s_at,0.05188823196549876,0.05188823196549876
216547_at,0.0515596596190286,0.0515596596190286
201947_s_at,-0.05129512409439649,0.05129512409439649
