Gene,Coefficient,Importance
220906_at,-0.10885875665385966,0.10885875665385966
217957_at,0.09153185350234701,0.09153185350234701
206382_s_at,-0.0915259559868313,0.0915259559868313
220637_at,0.08329407362224722,0.08329407362224722
210335_at,0.07511326926465645,0.07511326926465645
206443_at,-0.07506951614708976,0.07506951614708976
205342_s_at,0.0743898538833614,0.0743898538833614
208098_at,-0.07388789122524114,0.07388789122524114
220664_at,0.07388434067672718,0.07388434067672718
215869_at,-0.07057218900928655,0.07057218900928655
214489_at,0.0692149293126585,0.0692149293126585
221417_x_at,-0.06893696917988108,0.06893696917988108
219388_at,-0.0676687049856215,0.0676687049856215
216807_at,-0.06760539985025696,0.06760539985025696
209968_s_at,-0.06705967789116024,0.06705967789116024
213435_at,-0.06650505948233866,0.06650505948233866
210523_at,-0.06460393806253227,0.06460393806253227
207705_s_at,-0.06382856610422466,0.06382856610422466
207210_at,0.0622606468544752,0.0622606468544752
216605_s_at,0.06156746548611105,0.06156746548611105
222296_at,-0.06114096015345441,0.06114096015345441
215766_at,0.05877359422415675,0.05877359422415675
214907_at,0.05856381744864167,0.05856381744864167
216343_at,-0.0582061323806811,0.0582061323806811
213963_s_at,-0.05747811919882828,0.05747811919882828
216065_at,-0.057454825362892994,0.057454825362892994
217207_s_at,-0.057320843615519604,0.057320843615519604
206228_at,-0.05678718609523226,0.05678718609523226
213972_at,-0.05656667454348712,0.05656667454348712
216897_s_at,-0.05549463571654089,0.05549463571654089
205727_at,-0.05502370846239588,0.05502370846239588
49452_at,0.053957276604333,0.053957276604333
